Year,Make,Model,Variant,FuelType,Transmission,Location,Price,KMS_Driven,EMI_per_Month
2018,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",259000,94500,4410
2013,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",218000,93500,5876
2013,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",240000,21000,6655
2011,Hyundai,Santro Xing ,GLS,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",227000,38500,15206
2019,Hyundai,Grand i10 ,Sportz AT 1.2 Kappa VTVT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",607000,33500,10336
2023,Maruti,Swift  ,ZXI Plus AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",839000,25000,14287
2015,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",443000,53000,8063
2013,Hyundai,i10  ,Magna 1.2 Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",292000,79000,7870
2011,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",281000,76500,20078
2023,Tata,Altroz  ,XZA+ Dark Edition,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",875000,35500,14900
2021,Maruti,Baleno  ,Zeta Automatic,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",738000,28500,12567
2019,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",559000,26000,9519
2015,Hyundai,Elite i20 ,Asta 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",556000,55500,10120
2022,Skoda,Kushaq  ,Style 1.0L TSI AT,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1419000,16500,24404
2023,Tata,Altroz  ,XZ 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",795000,8500,13538
2020,Renault,Triber  ,RXZ,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",561000,53500,9553
2014,Hyundai,Grand i10 ,Sportz AT 1.2 Kappa VTVT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",414000,82000,8885
2016,Maruti,Baleno  ,Zeta 1.2,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",529000,54000,9008
2015,Mercedes,GLA  ,200 CDI Sport,diesel,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1880000,60000,34560
2020,Datsun,Redi-GO  ,S 1.0,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",282000,68000,6052
2018,Hyundai,i20 Active ,1.2 S,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",598000,51000,10183
2011,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",186000,70500,13290
2021,Maruti,Ignis  ,Zeta AMT Petrol,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",592000,22000,10081
2022,Maruti,S-Presso  ,VXI (O),petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",418000,20500,7118
2019,Maruti,Ignis  ,Zeta AMT Petrol,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",520000,70000,8855
2014,Hyundai,Grand i10 ,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",353000,115000,7576
2022,Renault,Triber  ,RXZ,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",566000,80500,11545
2014,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",395000,105000,8477
2023,Maruti,Swift  ,ZXI AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",780000,32500,13282
2023,Renault,Kwid  ,CLIMBER 1.0 AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",529000,29000,9008
2020,Maruti,Celerio X ,ZXI,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",461000,41500,7724
2014,Honda,City  ,S,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",405000,112500,8692
2014,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",405000,63000,8692
2020,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",307000,24000,5486
2011,Maruti,Wagon R 1.0,LXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",239000,65000,17257
2011,Hyundai,i10  ,Magna 1.2 Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",223000,92000,15934
2012,Honda,Brio  ,S MT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",229000,110500,8165
2019,Ford,Figo Aspire ,Titanium 1.2 Ti-VCT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",544000,43500,8685
2023,Maruti,Baleno  ,Alpha Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",795000,32000,13538
2021,Maruti,Ciaz  ,Alpha AT Petrol,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",942000,45000,16041
2021,Maruti,Dzire  ,VXI AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",687000,14000,11699
2015,Hyundai,Eon  ,Era +,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",256000,72000,4368
2018,Renault,Kwid  ,CLIMBER 1.0,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",330000,61500,5619
2021,Maruti,S-Cross  ,Zeta,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",829000,36000,14117
2018,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",508000,27500,8650
2021,Renault,Kwid  ,1.0L RXT(O) AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",436000,43500,7424
2012,Hyundai,i10  ,Sportz 1.2 Kappa2,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",261000,97500,9926
2022,Kia,Seltos  ,GTX Plus,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1495000,29500,25714
2021,Maruti,S-Presso  ,VXI Plus,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",432000,20500,7356
2018,Maruti,Ignis  ,Alpha AMT Petrol,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",508000,52000,8650
2017,Renault,Kwid  ,1.0 RXT AMT,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",319000,40500,5432
2018,Renault,Kwid  ,1.0 RXT AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",331000,91500,5636
2013,Hyundai,i10  ,Era Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",255000,80500,9698
2011,Hyundai,i10  ,Sportz 1.2 Kappa2,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",282000,31000,20149
2011,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",150000,91500,10718
2021,Maruti,Ciaz  ,Alpha Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",752000,91000,12806
2022,Maruti,Wagon R 1.0,VXI CNG,petrol+cng,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",609000,25500,10370
2021,Volkswagen,Vento  ,Highline 1.0L TSI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",897000,22000,14320
2018,Maruti,Baleno  ,Alpha 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",645000,52000,10983
2024,Maruti,Swift  ,ZXI CNG,petrol+cng,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",865000,29000,14730
2017,Maruti,Baleno  ,Zeta AT Petrol,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",567000,51000,9655
2018,Hyundai,i20 Active ,1.2 SX,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",652000,41500,11103
2018,Honda,WR-V  ,Edge Edition i-VTEC S,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",545000,78000,9281
2021,Mahindra,XUV 300 ,W8 Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",906000,35000,15428
2021,Renault,Kwid  ,CLIMBER 1.0 Opt,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",468000,13500,7969
2021,Maruti,S-Cross  ,Zeta AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",977000,7500,16637
2016,Renault,Duster  ,85 PS RXL EXPLORE,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",572000,116500,9740
2016,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",383000,103000,6971
2017,Renault,Kwid  ,1.0 RXT AMT Opt,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",336000,49000,5721
2021,Renault,Triber  ,RXZ,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",598000,50000,10183
2020,Hyundai,Grand i10 ,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",524000,99000,8923
2017,Maruti,Celerio  ,ZXi AMT,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",350000,119500,5960
2015,Hyundai,i10  ,Sportz 1.1 Petrol + CNG (Outside Fitted),petrol+cng,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",335000,94000,6097
2016,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",341000,53500,6094
2018,Maruti,Baleno  ,Alpha AT Petrol,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",656000,52000,11171
2017,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",459000,46000,7816
2019,Renault,Kwid  ,RXT 1.0 SCE Special (O),petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",371000,29500,6317
2018,Maruti,Alto 800 ,VXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",321000,56500,5737
2024,Tata,Tiago NRG ,XZ,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",678000,22500,11545
2024,Maruti,Baleno  ,Alpha AMT Petrol,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",872000,31500,14849
2022,Maruti,Vitara Brezza ,ZXI Plus Dual Tone,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",949000,21500,16160
2017,Hyundai,i20 Active ,1.2 SX,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",648000,59000,11035
2018,Maruti,Celerio  ,ZXI (O) AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",461000,47000,7850
2022,Maruti,Alto 800 ,Vxi Plus,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",403000,30500,7202
2021,Kia,Seltos  ,HTX IVT G,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",1119000,51000,19244
2014,Honda,Amaze  ,1.2 VX i-VTEC,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",358000,83000,9649
2020,Hyundai,New i20 ,Asta (O) 1.5 MT Diesel,diesel,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",776000,112000,13214
2013,Hyundai,i20  ,Asta 1.4 CRDI,diesel,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",423000,106500,11402
2012,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",346000,28000,13159
2015,Maruti,Ritz  ,Vxi BS-IV,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",312000,70000,6277
2014,Maruti,Alto 800 ,Lxi CNG,petrol+cng,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",231000,82000,5143
2014,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",197000,45500,5463
2011,Hyundai,i10  ,Magna 1.2 Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",221000,85000,15791
2021,Kia,Sonet  ,HTX 1.0 iMT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",862000,75000,14679
2022,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",670000,6000,11409
2021,Maruti,Baleno  ,Alpha Automatic,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",725000,42000,12346
2018,Renault,Kwid  ,1.0 RXT AMT Opt,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",398000,13000,6777
2016,Maruti,Alto 800 ,VXi (O),petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",264000,81000,4718
2018,Renault,Kwid  ,1.0 RXT AMT Opt,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",357000,51000,6079
2021,Hyundai,Venue  ,SX 1.0 Turbo iMT,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",873000,36500,14866
2015,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",410000,82000,7463
2021,Tata,Tigor  ,Revotron XZ+,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",647000,22500,11018
2023,Maruti,Baleno  ,Alpha Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",878000,17000,14951
2017,Maruti,Wagon R 1.0,VXI AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",409000,55500,7309
2012,Hyundai,i10  ,Sportz 1.2 Kappa2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",273000,80500,10383
2017,Honda,Jazz  ,V Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",479000,104000,7647
2020,Maruti,Baleno  ,Zeta,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",623000,44000,10609
2011,Hyundai,i10  ,Sportz 1.2 AT Kappa2,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",296000,62500,21150
2013,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",233000,45500,6461
2014,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",238000,36500,5298
2016,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",349000,60000,6237
2014,Hyundai,Elite i20 ,Asta 1.4 CRDI,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",503000,130500,10795
2015,Maruti,Ciaz  ,ZXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",487000,119000,8864
2021,Maruti,Vitara Brezza ,ZXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",840000,44000,14304
2018,Hyundai,Elite i20 ,Asta 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",614000,55500,10456
2021,Volkswagen,Vento  ,1.0LHighline Plus Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",878000,40000,14017
2022,Renault,Kwid  ,CLIMBER 1.0 AMT Opt,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",519000,14500,8838
2022,Skoda,Kushaq  ,Style 1.5L TSI MT,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1349000,46500,23200
